cidade_polo;cidade_polo_ajustado
Itabuna;Itabuna
Camaçari;Camaçari
ALAGOINHAS;Alagoinhas
JEQUIE;Jequié
BARREIRAS;Barreiras
Não Informada;
CACHOEIRA;Cachoeira
Salvador;Salvador
Barreiras;Barreiras
Santo Antônio de Jesus;Santo Antônio de Jesus
Jequié;Jequié
Cruz das Almas;Cruz das Almas
CAMAÇARI;Camaçari
SANTO ANTONIO DE JESUS;Santo Antônio de Jesus
Feira de Santana;Feira de Santana
Vitória da Conquista;Vitória da Conquista
Juazeiro;Juazeiro
Alagoinhas;Alagoinhas
SALVADOR;Salvador
CRUZ DA ALMAS;Cruz das Almas
FEIRA DE SANTANA;Feira de Santana
JUAZEIRO;Juazeiro
ITABUNA;Itabuna
VITORIA DA CONQUISTA;Vitória da Conquista
AMARGOSA;Amargosa
CRUZ DAS ALMAS;Cruz das Almas
