curso;curso_ajustado
ADMINISTRACAO;Administração
ADMINISTRAÇÃO;Administração
Administração  - Salvador;Administração
Administração - Barreiras;Administração
ADMINISTRAÇÃO - BARREIRAS;Administração
AGRONOMIA;Agronomia
ARQUITETURA E URBANISMO;Arquitetura e Urbanismo
ARQUITETURA E URBANISMO  - NOTURNO;Arquitetura e Urbanismo
Arquitetura e Urbanismo  - Noturno - Salvador;Arquitetura e Urbanismo
Arquitetura e Urbanismo  - Salvador;Arquitetura e Urbanismo
ARQUIVOLOGIA;Arquivologia
Arquivologia  - Noturno - Salvador;Arquivologia
Arquivologia - Bacharelado - Salvador;Arquivologia
ARQUIVOLOGIA - NOTURNO;Arquivologia
ARTES CENICAS - TEATRO   LICENC.;Artes Cênicas
ARTES CENICAS-DIR.TEATRAL  BAC.;Artes Cênicas
ARTES CENICAS-INTERP.TEATRAL BAC.;Artes Cênicas
Artes Cênicas - Direcao Teatral - Salvador;Artes Cênicas
ARTES CÊNICAS - DIREÇÃO TEATRAL;Artes Cênicas
Artes Cênicas - Interpretacao Teatral - Salvador;Artes Cênicas
ARTES CÊNICAS - INTERPRETAÇÃO TEATRAL;Artes Cênicas
ARTES PLASTICAS;Artes Plásticas
ARTES PLÁSTICAS;Artes Plásticas
Artes Plásticas  - Salvador;Artes Plásticas
BACH. EM CIENCIA DA COMPUTACAO;Ciência da Computação
BACH. EM CIENCIAS EXATAS (NOTURNO) - CRUZ DAS ALMAS;Bach. Em Ciencias Exatas
BACHARELADO EM CIENCIAS EXATAS - CRUZ DAS ALMAS;Bach. Em Ciencias Exatas
Bacharelado Interdisciplinar em Artes  - Noturno - Salvador;B.I. em Artes
Bacharelado Interdisciplinar em Artes  - Salvador;B.I. em Artes
Bacharelado Interdisciplinar em Artes - Noturno - Salvador;B.I. em Artes
Bacharelado Interdisciplinar em Ciência e Tecnologia  - Barr;B.I. em C&T
Bacharelado Interdisciplinar em Ciência e Tecnologia  - Barreiras;B.I. em C&T
Bacharelado Interdisciplinar em Ciência e Tecnologia  - Notu;B.I. em C&T
Bacharelado Interdisciplinar em Ciência e Tecnologia  - Noturno - Salvador;B.I. em C&T
Bacharelado Interdisciplinar em Ciência e Tecnologia - Diurn;B.I. em C&T
Bacharelado Interdisciplinar em Ciência e Tecnologia - Diurno - Bacharelado - Salvador;B.I. em C&T
Bacharelado Interdisciplinar em Humanidades  - Noturno - Sal;B.I. em Humanidades
Bacharelado Interdisciplinar em Humanidades  - Noturno - Salvador;B.I. em Humanidades
Bacharelado Interdisciplinar em Humanidades  - Salvador;B.I. em Humanidades
Bacharelado Interdisciplinar em Humanidades - Bacharelado - Noturno - Salvador;B.I. em Humanidades
Bacharelado Interdisciplinar em Humanidades - Bacharelado - Salvador;B.I. em Humanidades
Bacharelado Interdisciplinar em Humanidades - Noturno - Bach;B.I. em Humanidades
Bacharelado Interdisciplinar em Humanidades - Noturno - Bacharelado - Barreiras;B.I. em Humanidades
Bacharelado Interdisciplinar em Saúde  - Noturno - Salvador;B.I. em Saúde
Bacharelado Interdisciplinar em Saúde - Diurno - Bacharelado;B.I. em Saúde
Bacharelado Interdisciplinar em Saúde - Diurno - Bacharelado - Salvador;B.I. em Saúde
BI em Artes - Diurno;B.I. em Artes
BI em Artes - Noturno;B.I. em Artes
BI em Ciência e Tecnologia - Diurno (Barreiras);B.I. em C&T
BI em Ciência e Tecnologia - Noturno;B.I. em C&T
